"id","external_author_id","author","content","translation","is_translated","region","language","publish_date","harvested_date","following","followers","updates","post_type","account_type","new_june_2018","retweet","account_category"
"1915","3091664265","gagysokefuv","The illusion of a rift in the Obama-Netanyahu relationship",,"0","United States","English","2015-08-21 22:38:00","2015-08-21 22:38:00","0","0","120",,"Koch","1","0","Fearmonger"
"2234","1504356343","GallowayEliana","Let's get the earthquake money back from Zionists and the Clintons. https://t.co/dzQdDuZkSe",,"0","United States","English","2016-10-06 19:56:00","2016-10-06 19:56:00","1001","1151","1886","RETWEET","left","0","1","LeftTroll"
"2375","1504356343","GallowayEliana","""My record proves my deep and long-lasting support for Israel."" So does this mean you no longer support a #FreePalestine Congressman? https://t.co/kE8MuPTB0R",,"0","United States","English","2016-12-02 03:27:00","2016-12-02 03:27:00","991","1104","1961","RETWEET","left","0","1","LeftTroll"
"2513","1504356343","GallowayEliana","'@mikelbtko ((they)) ruined the west to justify making israel the place to see and be seen lol #altright'",,"0","United States","English","2016-02-26 11:51:00","2016-02-26 11:51:00","931","360","994","RETWEET","left","0","1","LeftTroll"
"3567","1504356343","GallowayEliana","As Israel Prospers, Obama Set to Give Billions More in Aid While Netanyahu Demands More  https://t.co/dLkKXysIUO",,"0","United States","English","2016-07-31 16:12:00","2016-07-31 16:13:00","1005","891","1674","RETWEET","left","0","1","LeftTroll"
"4442","8.67000000000e+17","garrettheshadow","PM Netanyahu: You've come from Riyadh to Tel aviv, I hope one day an Israeli PM will be able to fly from Tel aviv to Ryadh. #POTUSinIsrael https://t.co/xqCnygSJdd",,"0","United States","English","2017-05-22 11:05:00","2017-05-22 11:05:00","49","0","3","RETWEET","Right","0","1","RightTroll"
"4443","8.67000000000e+17","garrettheshadow","God bless Israel &amp; America.  It's a beautiful day as President Netanyahu &amp; his wife, Welcome @POTUS &amp; @FLOTUS to Israel.   #TrumpInIsrael https://t.co/zYxnKSwT9O",,"0","United States","English","2017-05-22 11:06:00","2017-05-22 11:06:00","49","0","4","RETWEET","Right","0","1","RightTroll"
"4444","8.67000000000e+17","garrettheshadow","What to expect from Trump's trip to Israel: https://t.co/6MqBXzB3hH https://t.co/q3I2w56k4G",,"0","United States","English","2017-05-22 11:08:00","2017-05-22 11:08:00","50","0","5","RETWEET","Right","0","1","RightTroll"
"4451","8.67000000000e+17","garrettheshadow","I love God, America, and our #PresidentTrump!   #TrumpInIsrael https://t.co/WfoPMfKIGK",,"0","United States","English","2017-05-23 09:59:00","2017-05-23 09:59:00","2","1","10","RETWEET","Right","0","1","RightTroll"
"4516","1660771422","GarrettSimpson_","Syrian recovering in Israeli hospital: “We want peace with Israel” https://t.co/jaHUFoKkdR https://t.co/5lrZ78Mgtd",,"0","United States","English","2017-01-11 22:04:00","2017-01-11 22:04:00","1784","1711","3407","RETWEET","Right","0","1","RightTroll"
"4628","1660771422","GarrettSimpson_","Obama's Betrayal of Israel: https://t.co/R4jF4RpJfz",,"0","United States","English","2017-01-14 10:18:00","2017-01-14 10:18:00","1782","1709","3469","RETWEET","Right","0","1","RightTroll"
"4639","1660771422","GarrettSimpson_","��Pray for the State of Israel�� #StandWithIsrael #shabbatshalom  @Karee_news @JAmy208 @halosday @AwakeDeborah  @LVNancy https://t.co/VJspUUx1mN",,"0","United States","English","2017-01-14 22:22:00","2017-01-14 22:22:00","1782","1707","3476","RETWEET","Right","0","1","RightTroll"
"4667","1660771422","GarrettSimpson_","German Court Puts The Nazi In #IslamoNazi   #Muslims Torching Jewish Synagogue   Is Justified Criticism Of #Israel   https://t.co/KYOlm7dQvy https://t.co/s09OcsrI2L",,"0","United States","English","2017-01-15 22:26:00","2017-01-15 22:26:00","1781","1706","3490","RETWEET","Right","0","1","RightTroll"
"4707","1660771422","GarrettSimpson_","The Bigotry against #Israel in the UN https://t.co/dE2vcLbkEt",,"0","United States","English","2017-01-16 16:33:00","2017-01-16 16:33:00","1782","1708","3495","RETWEET","Right","0","1","RightTroll"
"4708","1660771422","GarrettSimpson_","The Governor of Michigan signed a decree banning the boycott of Israel #BDSFAIL #BDS #ANTISEMITISM https://t.co/AWTm8NwbjO",,"0","United States","English","2017-01-16 16:33:00","2017-01-16 16:33:00","1782","1708","3498","RETWEET","Right","0","1","RightTroll"
